lambda_um,dlam_um,Fnu_Jy,eFnu_Jy,Flambda_cgs_A,eFlambda_cgs_A,filename,bunit
2.04152615,0.050283897,0.165619127,0.047498714,1.19E-14,3.42E-15,level2_2025W21_2C_0154_4D3_spx_l2b-v12-2025-176.fits,MJy / sr
2.08782241,0.0514242,0.067367035,0.037305741,4.63E-15,2.57E-15,level2_2025W21_2C_0312_1D3_spx_l2b-v12-2025-176.fits,MJy / sr
2.124593463,0.05232989,0.163974806,0.049416871,1.09E-14,3.28E-15,level2_2025W26_2A_0143_1D3_spx_l2b-v13-2025-189.fits,MJy / sr
2.12462088,0.052330565,0.175637802,0.024972825,1.17E-14,1.66E-15,level2_2025W21_2C_0445_1D3_spx_l2b-v12-2025-176.fits,MJy / sr
2.136634119,0.052626458,0.160584058,0.050585418,1.05E-14,3.32E-15,level2_2025W21_2C_0312_2D3_spx_l2b-v12-2025-176.fits,MJy / sr
2.173682217,0.053538972,0.15639426,0.020623814,9.92E-15,1.31E-15,level2_2025W21_2C_0445_2D3_spx_l2b-v12-2025-176.fits,MJy / sr
2.223851547,0.05477467,0.153650663,0.001176137,9.31E-15,7.13E-17,level2_2025W21_2C_0445_3D3_spx_l2b-v12-2025-176.fits,MJy / sr
2.275108624,0.05603716,0.139102661,0.012934447,8.06E-15,7.49E-16,level2_2025W21_2C_0445_4D3_spx_l2b-v12-2025-176.fits,MJy / sr
2.326822256,0.057310896,0.123840943,0.038375018,6.86E-15,2.12E-15,level2_2025W21_2C_0467_1D3_spx_l2b-v12-2025-176.fits,MJy / sr
2.380282525,0.058627651,0.124305915,0.006767188,6.58E-15,3.58E-16,level2_2025W21_2C_0467_2D3_spx_l2b-v12-2025-176.fits,MJy / sr
2.42215271,0.069402653,0.085394428,0.005864371,4.36E-15,3.00E-16,level2_2025W23_2B_0634_2D4_spx_l2b-v12-2025-178.fits,MJy / sr
2.484686285,0.071194448,0.092343479,0.014086848,4.48E-15,6.84E-16,level2_2025W23_2B_0634_3D4_spx_l2b-v12-2025-178.fits,MJy / sr
2.550472798,0.073079445,0.089590222,0.020585931,4.13E-15,9.49E-16,level2_2025W23_2B_0634_4D4_spx_l2b-v12-2025-178.fits,MJy / sr
2.687326387,0.077000755,0.093069354,0.007785061,3.86E-15,3.23E-16,level2_2025W23_1C_0073_2D4_spx_l2b-v12-2025-177.fits,MJy / sr
2.760107102,0.079086159,0.087217403,0.012567245,3.43E-15,4.95E-16,level2_2025W23_1C_0073_3D4_spx_l2b-v12-2025-177.fits,MJy / sr
2.910989851,0.083409445,0.086534975,0.009446189,3.06E-15,3.34E-16,level2_2025W22_2B_0511_1D4_spx_l2b-v12-2025-177.fits,MJy / sr
2.990735096,0.085694411,0.084000882,0.018183256,2.82E-15,6.09E-16,level2_2025W22_2B_0511_2D4_spx_l2b-v12-2025-177.fits,MJy / sr
3.072310509,0.088031816,0.083471131,0.012145455,2.65E-15,3.86E-16,level2_2025W22_2B_0511_3D4_spx_l2b-v12-2025-177.fits,MJy / sr
